run,time_hr,glucose,remote_insulin,insulin,baseline_command,requested_command,delivered_command,disturbance,attack_active,attack_name,blocked,mode,reason
defended,6.000000,89.929102,0.058457635,21.364394,21.273396,120.000000,0.000000,0.000000,1,overdose_spike,1,FAIL_SAFE,MAX_INSULIN_PER_INJECTION|MAX_INSULIN_PER_TIME_WINDOW|GLUCOSE_INSULIN_CONSISTENCY|SUDDEN_INSULIN_SPIKE
defended,6.166667,93.704213,0.051314389,12.958161,21.834639,120.000000,0.000000,0.000000,1,overdose_spike,1,FAIL_SAFE,MAX_INSULIN_PER_INJECTION|MAX_INSULIN_PER_TIME_WINDOW|GLUCOSE_INSULIN_CONSISTENCY
defended,8.666667,136.732277,0.069592888,31.771126,33.180818,33.180818,0.000000,5.429025,0,,1,FAIL_SAFE,MAX_INSULIN_PER_TIME_WINDOW
defended,9.500000,124.317080,0.069624824,27.056590,27.359791,27.359791,0.000000,4.228129,0,,1,FAIL_SAFE,MAX_INSULIN_PER_TIME_WINDOW
defended,10.000000,123.929828,0.064445409,25.097733,30.682539,85.682539,0.000000,3.639184,1,rapid_repeated_injections,1,FAIL_SAFE,MAX_INSULIN_PER_INJECTION|MAX_INSULIN_PER_TIME_WINDOW|SUDDEN_INSULIN_SPIKE
defended,10.166667,126.941376,0.057097295,15.222545,30.630482,85.630482,0.000000,3.461699,1,rapid_repeated_injections,1,FAIL_SAFE,MAX_INSULIN_PER_INJECTION|MAX_INSULIN_PER_TIME_WINDOW
defended,10.333333,134.376871,0.048195563,9.232941,33.375496,88.375496,0.000000,3.292870,1,rapid_repeated_injections,1,FAIL_SAFE,MAX_INSULIN_PER_INJECTION
defended,10.500000,145.164355,0.039448562,5.600062,36.701714,91.701714,0.000000,3.132275,1,rapid_repeated_injections,1,FAIL_SAFE,MAX_INSULIN_PER_INJECTION
defended,11.500000,108.376793,0.070173563,30.305845,29.121680,29.121680,0.000000,2.320446,0,,1,FAIL_SAFE,MAX_INSULIN_PER_TIME_WINDOW
defended,11.666667,107.967623,0.063187524,18.381425,31.363721,31.363721,0.000000,2.207277,0,,1,FAIL_SAFE,MAX_INSULIN_PER_TIME_WINDOW
defended,12.666667,90.825662,0.078862750,32.883562,32.597476,32.597476,0.000000,1.635191,0,,1,FAIL_SAFE,MAX_INSULIN_PER_TIME_WINDOW
defended,12.833333,92.308632,0.070611062,19.944889,33.628417,33.628417,0.000000,1.555442,0,,1,FAIL_SAFE,MAX_INSULIN_PER_TIME_WINDOW
defended,13.500000,105.890971,0.073362551,32.101042,41.265016,41.265016,0.000000,2.853688,0,,1,FAIL_SAFE,MAX_INSULIN_PER_TIME_WINDOW
defended,13.833333,106.285256,0.069466820,26.716637,38.013340,38.013340,0.000000,2.582124,0,,1,FAIL_SAFE,MAX_INSULIN_PER_TIME_WINDOW
defended,14.000000,109.751840,0.061431373,16.204460,38.018909,38.018909,0.000000,2.456192,0,,1,FAIL_SAFE,MAX_INSULIN_PER_TIME_WINDOW
defended,14.666667,102.777044,0.072445608,33.955100,36.614709,36.614709,0.000000,2.010960,0,,1,FAIL_SAFE,MAX_INSULIN_PER_TIME_WINDOW
defended,15.000000,99.428807,0.069313521,26.832191,38.110787,38.110787,0.000000,1.819592,0,,1,FAIL_SAFE,MAX_INSULIN_PER_TIME_WINDOW
defended,15.166667,102.428809,0.061355312,16.274547,38.872795,38.872795,0.000000,1.730849,0,,1,FAIL_SAFE,MAX_INSULIN_PER_TIME_WINDOW
defended,15.833333,95.714891,0.073547358,34.734114,37.706839,37.706839,0.000000,1.417100,0,,1,FAIL_SAFE,MAX_INSULIN_PER_TIME_WINDOW
defended,16.166667,92.714081,0.070674131,27.549263,39.046031,39.046031,0.000000,1.282245,0,,1,FAIL_SAFE,MAX_INSULIN_PER_TIME_WINDOW
defended,16.333333,95.676149,0.062624613,16.709473,39.706042,39.706042,0.000000,1.219709,0,,1,FAIL_SAFE,MAX_INSULIN_PER_TIME_WINDOW
defended,17.000000,90.141786,0.074827189,35.269312,38.464187,38.464187,0.000000,0.998613,0,,1,FAIL_SAFE,MAX_INSULIN_PER_TIME_WINDOW
defended,17.333333,87.737595,0.071910049,28.047092,39.657279,39.657279,0.000000,0.903583,0,,1,FAIL_SAFE,MAX_INSULIN_PER_TIME_WINDOW|GLUCOSE_INSULIN_CONSISTENCY
defended,17.500000,90.758227,0.063725240,17.011421,40.220381,40.220381,0.000000,0.859514,0,,1,FAIL_SAFE,MAX_INSULIN_PER_TIME_WINDOW|GLUCOSE_INSULIN_CONSISTENCY
defended,18.166667,86.302492,0.075677767,35.564990,38.904809,38.904809,0.000000,0.703711,0,,1,FAIL_SAFE,MAX_INSULIN_PER_TIME_WINDOW
defended,18.333333,86.289960,0.069126477,21.571258,38.329197,38.329197,0.000000,0.669390,0,,1,FAIL_SAFE,GLUCOSE_INSULIN_CONSISTENCY
defended,18.500000,90.949550,0.059420572,13.083630,40.849930,80.000000,0.000000,0.636744,1,low_glucose_high_insulin_mismatch,1,FAIL_SAFE,MAX_INSULIN_PER_INJECTION|MAX_INSULIN_PER_TIME_WINDOW|GLUCOSE_INSULIN_CONSISTENCY|SUDDEN_INSULIN_SPIKE
defended,18.666667,98.921705,0.049216106,7.935623,43.600262,80.000000,0.000000,0.605690,1,low_glucose_high_insulin_mismatch,1,FAIL_SAFE,MAX_INSULIN_PER_INJECTION|MAX_INSULIN_PER_TIME_WINDOW
defended,18.833333,109.238597,0.039774866,4.813199,45.990266,80.000000,0.000000,0.576150,1,low_glucose_high_insulin_mismatch,1,FAIL_SAFE,MAX_INSULIN_PER_INJECTION
defended,19.500000,153.041930,0.067714867,36.928353,64.217836,64.217836,0.000000,6.658606,0,,1,FAIL_SAFE,MAX_INSULIN_PER_TIME_WINDOW
defended,19.666667,152.443766,0.063593790,22.398179,49.409109,49.409109,0.000000,6.333862,0,,1,FAIL_SAFE,MAX_INSULIN_PER_TIME_WINDOW
defended,19.833333,156.941030,0.055535378,13.585183,48.822763,48.822763,0.000000,6.024956,0,,1,FAIL_SAFE,MAX_INSULIN_PER_TIME_WINDOW
defended,20.000000,166.354465,0.046460842,8.239830,52.544979,52.544979,0.000000,5.731115,0,,1,FAIL_SAFE,MAX_INSULIN_PER_TIME_WINDOW
defended,20.666667,127.973361,0.080299078,43.287654,43.040845,43.040845,0.000000,4.692240,0,,1,FAIL_SAFE,MAX_INSULIN_PER_TIME_WINDOW
defended,20.833333,120.965209,0.075240450,26.255290,42.873429,42.873429,0.000000,4.463397,0,,1,FAIL_SAFE,MAX_INSULIN_PER_TIME_WINDOW
defended,21.000000,123.307563,0.065622695,15.924639,48.824622,48.824622,0.000000,4.245715,0,,1,FAIL_SAFE,MAX_INSULIN_PER_TIME_WINDOW
defended,21.166667,131.388495,0.054856193,9.658782,54.148163,54.148163,0.000000,4.038649,0,,1,FAIL_SAFE,MAX_INSULIN_PER_TIME_WINDOW
defended,21.833333,106.522400,0.085915794,45.346758,47.594470,47.594470,0.000000,3.306566,0,,1,FAIL_SAFE,MAX_INSULIN_PER_TIME_WINDOW
defended,22.000000,102.163570,0.080173004,27.504200,47.197721,47.197721,0.000000,3.145303,0,,1,FAIL_SAFE,MAX_INSULIN_PER_TIME_WINDOW
defended,22.166667,105.382031,0.069763688,16.682141,51.913204,51.913204,0.000000,2.991905,0,,1,FAIL_SAFE,MAX_INSULIN_PER_TIME_WINDOW
defended,22.333333,113.354411,0.058233432,10.118230,56.195240,56.195240,0.000000,2.845988,0,,1,FAIL_SAFE,MAX_INSULIN_PER_TIME_WINDOW
defended,23.000000,94.373417,0.088727083,46.542779,49.908893,49.908893,0.000000,2.330098,0,,1,FAIL_SAFE,MAX_INSULIN_PER_TIME_WINDOW
defended,23.166667,91.139517,0.082698250,28.229623,49.425857,49.425857,0.000000,2.216457,0,,1,FAIL_SAFE,MAX_INSULIN_PER_TIME_WINDOW
defended,23.333333,94.598695,0.071913027,17.122133,53.510083,53.510083,0.000000,2.108359,0,,1,FAIL_SAFE,MAX_INSULIN_PER_TIME_WINDOW
defended,23.500000,102.307995,0.060002316,10.385099,57.237522,57.237522,0.000000,2.005534,0,,1,FAIL_SAFE,MAX_INSULIN_PER_TIME_WINDOW
